,Unnamed: 0,Open,High,Low,Close,Volume,Currency,rsi,weekday,middle_bb,lower_bb,upper_bb,macd,pos_directional_indicator,neg_directional_indicator,adx,cci,aroon_down,aroon_up,aroon_indicator,return,ewm_mean_5,ewm_std_5,roll_mean_5,roll_std_5,roll_min_5,roll_max_5,roll_range_5,roll_mean_s_5,roll_std_s_5,roll_min_s_5,roll_max_s_5,roll_range_s_5,roll_min_abs_5,roll_range_sbs_5,roll_q10_5,roll_q25_5,roll_q50_5,roll_q75_5,roll_q90_5,mean_abs_chg5,day,month,year,quarter,is_holiday,shifted_change,return_class
30,30,29.17,29.19,28.69,28.94,109098816,USD,44.38,2,28.53,26.92,30.12,-0.1719,20.83,19.05,14.5,31.78,52,20,-32.0,0.006595999999999999,0.0036095611511661884,0.009918278937144906,0.007408905029296875,0.009951855162932602,-0.00788116455078125,0.0193939208984375,0.02727508544921875,0.002068519592285156,0.015733842835369792,-0.01470184326171875,0.023406982421875,0.03810882568359375,0.01470184326171875,0.00469207763671875,-0.0101837158203125,-0.006170988082885742,0.006937026977539063,0.01218414306640625,0.01979522705078125,0.0,17,2,2010,1,0,-0.00788,3
31,31,28.8,29.12,28.7,28.98,105706216,USD,54.7,3,28.47,27.06,29.88,-0.1198,19.97,18.27,13.79,43.62,48,16,-32.0,-0.0010400000000000001,0.0020595509483997032,0.008460951829539964,0.0033220291137695318,0.007752355330579606,-0.00788116455078125,0.01165771484375,0.01953887939453125,0.00449066162109375,0.016064299021796274,-0.01470184326171875,0.023406982421875,0.03810882568359375,0.01470184326171875,-0.00304412841796875,-0.0101837158203125,-0.006170988082885742,0.006937026977539063,0.011510848999023438,0.013464355468749994,0.0,18,2,2010,1,0,0.006595999999999999,1
32,32,28.84,29.03,28.73,28.81,103933568,USD,64.56,4,28.42,27.12,29.7,-0.0921,19.36,17.72,13.12,46.28,44,12,-32.0,-0.00968,-0.0018542059687083785,0.009274629684007366,-0.0009458541870117187,0.007888841340662318,-0.00968170166015625,0.0072784423828125,0.01696014404296875,0.009625244140625,0.014420765215486391,-0.01470184326171875,0.023406982421875,0.03810882568359375,0.01470184326171875,-0.00742340087890625,-0.0101837158203125,-0.006170988082885742,0.006937026977539063,0.012037277221679688,0.0167327880859375,0.0,19,2,2010,1,0,-0.0010400000000000001,1
33,33,28.9,28.94,28.45,28.62,97706264,USD,58.97,0,28.44,27.14,29.72,-0.0837,18.42,19.62,12.41,25.98,40,8,-32.0,-0.0147,-0.006136756144680965,0.010158559724167595,-0.0053419113159179675,0.008274914814434209,-0.01470184326171875,0.006595611572265625,0.02129745483398437,0.011565399169921877,0.010429941258665231,-0.005001068115234375,0.023406982421875,0.028408050537109375,0.01470184326171875,0.00159454345703125,-0.0101837158203125,-0.007161140441894531,0.002777576446533203,0.012037277221679688,0.0167327880859375,0.0,22,2,2010,1,0,-0.00968,1
34,34,28.56,28.77,27.95,28.16,143828368,USD,51.75,1,28.39,27.12,29.66,-0.1144,16.94,23.11,12.625,-13.26,36,4,-32.0,0.01236,2.870651795666822e-05,0.01279960081501458,-0.0012937545776367187,0.011167535195481434,-0.01470184326171875,0.012359619140625,0.02706146240234375,0.00942840576171875,0.011286021074213256,-0.005001068115234375,0.023406982421875,0.028408050537109375,0.01470184326171875,0.007358551025390625,-0.0101837158203125,-0.004010915756225586,0.0041351318359375,0.012037277221679688,0.0167327880859375,0.0,23,2,2010,1,0,-0.0147,3
35,35,28.31,28.78,28.27,28.67,115141488,USD,52.16,2,28.36,27.17,29.53,-0.09564,16.05,21.62,12.78,28.0,32,4,-28.0,0.0234,0.007821468720442088,0.016156658189878548,0.002068519592285156,0.015733842835369792,-0.01470184326171875,0.023406982421875,0.03810882568359375,0.006084442138671875,0.008150159852116595,-0.005001068115234375,0.0159912109375,0.02099227905273437,0.01470184326171875,0.018405914306640625,-0.0101837158203125,-0.004010915756225586,0.004180908203125,0.012037277221679688,0.0167327880859375,0.0,24,2,2010,1,0,0.01236,3
36,36,28.2,28.98,28.12,28.86,166349232,USD,67.56,3,28.31,27.28,29.34,-0.06476,16.69,19.77,12.48,49.94,28,4,-24.0,0.01107,0.008904396632448502,0.013302513321427423,0.00449066162109375,0.016064299021796274,-0.01470184326171875,0.023406982421875,0.03810882568359375,0.007581329345703125,0.009812565804137658,-0.005001068115234375,0.0185546875,0.02355575561523437,0.01470184326171875,0.018405914306640625,-0.0101837158203125,-0.003332138061523437,0.008878707885742188,0.01508331298828125,0.0190399169921875,0.0,25,2,2010,1,0,0.0234,3
37,37,28.9,29.31,28.86,29.23,126865184,USD,66.7,4,28.36,27.25,29.45,-0.0103,19.33,18.86,11.67,110.25,24,16,-8.0,0.01599,0.011266668548152298,0.011485732066829693,0.009625244140625,0.014420765215486391,-0.01470184326171875,0.023406982421875,0.03810882568359375,0.003556060791015625,0.009626541567304879,-0.005001068115234375,0.0185546875,0.02355575561523437,0.01470184326171875,0.016574859619140625,-0.0059711456298828115,-0.002682685852050781,0.008878707885742188,0.01508331298828125,0.0190399169921875,0.0,26,2,2010,1,0,0.01107,3
38,38,29.39,29.94,29.34,29.86,137523328,USD,74.4,0,28.47,27.27,29.69,0.08276,24.33,17.48,12.01,153.6,20,100,80.0,-0.005,0.005844088924748078,0.01270664916165704,0.011565399169921877,0.010429941258665231,-0.005001068115234375,0.023406982421875,0.028408050537109375,0.0088531494140625,0.01093829815423797,-0.0041351318359375,0.021484375,0.0256195068359375,0.005001068115234375,0.016574859619140625,-0.0042217254638671885,0.0029277801513671875,0.011714935302734377,0.017913818359375,0.0216766357421875,0.0,1,3,2010,1,0,0.01599,1
39,39,29.98,30.12,29.69,29.84,141636288,USD,72.1,1,28.58,27.27,29.89,0.1531,25.22,16.67,12.61,144.8,16,96,80.0,0.001675,0.00445427652401037,0.01060510382537709,0.00942840576171875,0.011286021074213256,-0.005001068115234375,0.023406982421875,0.028408050537109375,0.009394073486328123,0.010554705385304857,-0.0041351318359375,0.021484375,0.0256195068359375,0.005001068115234375,0.016574859619140625,-0.0042217254638671885,0.0023508071899414067,0.008878707885742188,0.017913818359375,0.0216766357421875,0.0,2,3,2010,1,0,-0.005,3
